id,manifest,num,book_name,册序
4915189,https://www.digital.archives.go.jp/api/iiif/4915189/manifest.json,302-0065,醫級,2
4915190,https://www.digital.archives.go.jp/api/iiif/4915190/manifest.json,302-0065,醫級,3
4915191,https://www.digital.archives.go.jp/api/iiif/4915191/manifest.json,302-0065,醫級,4
4915192,https://www.digital.archives.go.jp/api/iiif/4915192/manifest.json,302-0065,醫級,5
4915193,https://www.digital.archives.go.jp/api/iiif/4915193/manifest.json,302-0065,醫級,6
4915194,https://www.digital.archives.go.jp/api/iiif/4915194/manifest.json,302-0065,醫級,7
4915195,https://www.digital.archives.go.jp/api/iiif/4915195/manifest.json,302-0065,醫級,8
4915196,https://www.digital.archives.go.jp/api/iiif/4915196/manifest.json,302-0065,醫級,9
4915197,https://www.digital.archives.go.jp/api/iiif/4915197/manifest.json,302-0065,醫級,10
4915198,https://www.digital.archives.go.jp/api/iiif/4915198/manifest.json,302-0065,醫級,11
4915199,https://www.digital.archives.go.jp/api/iiif/4915199/manifest.json,302-0065,醫級,12
4431897,https://www.digital.archives.go.jp/api/iiif/4431897/manifest.json,304-0025,鼎鍥幼幼集成,8
4431899,https://www.digital.archives.go.jp/api/iiif/4431899/manifest.json,304-0025,鼎鍥幼幼集成,9
4432863,https://www.digital.archives.go.jp/api/iiif/4432863/manifest.json,304-0025,鼎鍥幼幼集成,10
4432865,https://www.digital.archives.go.jp/api/iiif/4432865/manifest.json,304-0025,鼎鍥幼幼集成,11
4432867,https://www.digital.archives.go.jp/api/iiif/4432867/manifest.json,304-0025,鼎鍥幼幼集成,12
4918505,https://www.digital.archives.go.jp/api/iiif/4918505/manifest.json,305-0021,千金翼方,1
4918506,https://www.digital.archives.go.jp/api/iiif/4918506/manifest.json,305-0021,千金翼方,2
4918507,https://www.digital.archives.go.jp/api/iiif/4918507/manifest.json,305-0021,千金翼方,3
4918508,https://www.digital.archives.go.jp/api/iiif/4918508/manifest.json,305-0021,千金翼方,4
4918509,https://www.digital.archives.go.jp/api/iiif/4918509/manifest.json,305-0021,千金翼方,5
4918510,https://www.digital.archives.go.jp/api/iiif/4918510/manifest.json,305-0021,千金翼方,6
4918511,https://www.digital.archives.go.jp/api/iiif/4918511/manifest.json,305-0021,千金翼方,7
4918512,https://www.digital.archives.go.jp/api/iiif/4918512/manifest.json,305-0021,千金翼方,8
4918513,https://www.digital.archives.go.jp/api/iiif/4918513/manifest.json,305-0021,千金翼方,9
4918514,https://www.digital.archives.go.jp/api/iiif/4918514/manifest.json,305-0021,千金翼方,10
4918515,https://www.digital.archives.go.jp/api/iiif/4918515/manifest.json,305-0021,千金翼方,11
4918516,https://www.digital.archives.go.jp/api/iiif/4918516/manifest.json,305-0021,千金翼方,12
4918551,https://www.digital.archives.go.jp/api/iiif/4918551/manifest.json,305-0026,易簡方論,1
4918552,https://www.digital.archives.go.jp/api/iiif/4918552/manifest.json,305-0026,易簡方論,2
4918553,https://www.digital.archives.go.jp/api/iiif/4918553/manifest.json,305-0026,易簡方論,3
4918554,https://www.digital.archives.go.jp/api/iiif/4918554/manifest.json,305-0026,易簡方論,4
4918555,https://www.digital.archives.go.jp/api/iiif/4918555/manifest.json,305-0026,易簡方論,5
4918556,https://www.digital.archives.go.jp/api/iiif/4918556/manifest.json,305-0026,易簡方論,6
4918557,https://www.digital.archives.go.jp/api/iiif/4918557/manifest.json,305-0026,易簡方論,7
4918558,https://www.digital.archives.go.jp/api/iiif/4918558/manifest.json,305-0026,易簡方論,8
4918559,https://www.digital.archives.go.jp/api/iiif/4918559/manifest.json,305-0026,易簡方論,9
4918560,https://www.digital.archives.go.jp/api/iiif/4918560/manifest.json,305-0026,易簡方論,10
4918561,https://www.digital.archives.go.jp/api/iiif/4918561/manifest.json,305-0026,易簡方論,11
4918562,https://www.digital.archives.go.jp/api/iiif/4918562/manifest.json,305-0026,易簡方論,12
4918598,https://www.digital.archives.go.jp/api/iiif/4918598/manifest.json,305-0036,增廣太平惠民和劑局方,1
4918599,https://www.digital.archives.go.jp/api/iiif/4918599/manifest.json,305-0036,增廣太平惠民和劑局方,2
4918600,https://www.digital.archives.go.jp/api/iiif/4918600/manifest.json,305-0036,增廣太平惠民和劑局方,3
4918601,https://www.digital.archives.go.jp/api/iiif/4918601/manifest.json,305-0036,增廣太平惠民和劑局方,4
4918602,https://www.digital.archives.go.jp/api/iiif/4918602/manifest.json,305-0036,增廣太平惠民和劑局方,5
4918603,https://www.digital.archives.go.jp/api/iiif/4918603/manifest.json,305-0036,增廣太平惠民和劑局方,6
4918604,https://www.digital.archives.go.jp/api/iiif/4918604/manifest.json,305-0036,增廣太平惠民和劑局方,7
4918605,https://www.digital.archives.go.jp/api/iiif/4918605/manifest.json,305-0036,增廣太平惠民和劑局方,8
4918606,https://www.digital.archives.go.jp/api/iiif/4918606/manifest.json,305-0036,增廣太平惠民和劑局方,9
4918607,https://www.digital.archives.go.jp/api/iiif/4918607/manifest.json,305-0036,增廣太平惠民和劑局方,10
4918608,https://www.digital.archives.go.jp/api/iiif/4918608/manifest.json,305-0036,增廣太平惠民和劑局方,11
4918609,https://www.digital.archives.go.jp/api/iiif/4918609/manifest.json,305-0036,增廣太平惠民和劑局方,12
4772139,https://www.digital.archives.go.jp/api/iiif/4772139/manifest.json,305-0122,萬氏家抄濟世良方,1
