id,manifest,num
4763270,https://www.digital.archives.go.jp/api/iiif/4763270/manifest.json,254-0003
4763271,https://www.digital.archives.go.jp/api/iiif/4763271/manifest.json,254-0003
4763272,https://www.digital.archives.go.jp/api/iiif/4763272/manifest.json,254-0003
4763273,https://www.digital.archives.go.jp/api/iiif/4763273/manifest.json,254-0003
4763275,https://www.digital.archives.go.jp/api/iiif/4763275/manifest.json,254-0003
4763277,https://www.digital.archives.go.jp/api/iiif/4763277/manifest.json,254-0003
4763334,https://www.digital.archives.go.jp/api/iiif/4763334/manifest.json,273-0001
4763335,https://www.digital.archives.go.jp/api/iiif/4763335/manifest.json,273-0001
4763337,https://www.digital.archives.go.jp/api/iiif/4763337/manifest.json,273-0001
4763338,https://www.digital.archives.go.jp/api/iiif/4763338/manifest.json,273-0001
4763339,https://www.digital.archives.go.jp/api/iiif/4763339/manifest.json,273-0001
4763340,https://www.digital.archives.go.jp/api/iiif/4763340/manifest.json,273-0001
4763341,https://www.digital.archives.go.jp/api/iiif/4763341/manifest.json,273-0001
4763342,https://www.digital.archives.go.jp/api/iiif/4763342/manifest.json,273-0001
4763343,https://www.digital.archives.go.jp/api/iiif/4763343/manifest.json,274-0001
4763366,https://www.digital.archives.go.jp/api/iiif/4763366/manifest.json,274-0001
4763344,https://www.digital.archives.go.jp/api/iiif/4763344/manifest.json,274-0001
4763345,https://www.digital.archives.go.jp/api/iiif/4763345/manifest.json,274-0001
4763346,https://www.digital.archives.go.jp/api/iiif/4763346/manifest.json,274-0001
4763347,https://www.digital.archives.go.jp/api/iiif/4763347/manifest.json,274-0001
4763348,https://www.digital.archives.go.jp/api/iiif/4763348/manifest.json,274-0001
4763349,https://www.digital.archives.go.jp/api/iiif/4763349/manifest.json,274-0001
4763350,https://www.digital.archives.go.jp/api/iiif/4763350/manifest.json,274-0001
4763351,https://www.digital.archives.go.jp/api/iiif/4763351/manifest.json,274-0001
4763352,https://www.digital.archives.go.jp/api/iiif/4763352/manifest.json,274-0001
4763353,https://www.digital.archives.go.jp/api/iiif/4763353/manifest.json,274-0001
4763354,https://www.digital.archives.go.jp/api/iiif/4763354/manifest.json,274-0001
4763356,https://www.digital.archives.go.jp/api/iiif/4763356/manifest.json,274-0001
4763358,https://www.digital.archives.go.jp/api/iiif/4763358/manifest.json,274-0001
4763361,https://www.digital.archives.go.jp/api/iiif/4763361/manifest.json,274-0001
4763371,https://www.digital.archives.go.jp/api/iiif/4763371/manifest.json,274-0002
4763372,https://www.digital.archives.go.jp/api/iiif/4763372/manifest.json,274-0002
4763373,https://www.digital.archives.go.jp/api/iiif/4763373/manifest.json,274-0002
4763374,https://www.digital.archives.go.jp/api/iiif/4763374/manifest.json,274-0002
4763375,https://www.digital.archives.go.jp/api/iiif/4763375/manifest.json,274-0002
4763376,https://www.digital.archives.go.jp/api/iiif/4763376/manifest.json,274-0002
4763377,https://www.digital.archives.go.jp/api/iiif/4763377/manifest.json,274-0002
4763378,https://www.digital.archives.go.jp/api/iiif/4763378/manifest.json,274-0002
4763379,https://www.digital.archives.go.jp/api/iiif/4763379/manifest.json,274-0002
