id,manifest,num,pages
5395372,https://www.digital.archives.go.jp/api/iiif/5395372/manifest.json,369-0033,129
4492262,https://www.digital.archives.go.jp/api/iiif/4492262/manifest.json,120-0002,128
4495262,https://www.digital.archives.go.jp/api/iiif/4495262/manifest.json,135-0007,128
4227857,https://www.digital.archives.go.jp/api/iiif/4227857/manifest.json,300-0154,128
4916167,https://www.digital.archives.go.jp/api/iiif/4916167/manifest.json,303-0001,128
4916313,https://www.digital.archives.go.jp/api/iiif/4916313/manifest.json,303-0001,128
4772022,https://www.digital.archives.go.jp/api/iiif/4772022/manifest.json,305-0084,128
4920226,https://www.digital.archives.go.jp/api/iiif/4920226/manifest.json,307-0139,128
4771233,https://www.digital.archives.go.jp/api/iiif/4771233/manifest.json,308-0086,128
1080038,https://www.digital.archives.go.jp/api/iiif/1080038/manifest.json,312-0082,128
3975245,https://www.digital.archives.go.jp/api/iiif/3975245/manifest.json,366-0078,128
5389668,https://www.digital.archives.go.jp/api/iiif/5389668/manifest.json,367-0008,128
5390476,https://www.digital.archives.go.jp/api/iiif/5390476/manifest.json,367-0064,128
4263706,https://www.digital.archives.go.jp/api/iiif/4263706/manifest.json,370-0012,128
4412966,https://www.digital.archives.go.jp/api/iiif/4412966/manifest.json,070-0005,127
4758296,https://www.digital.archives.go.jp/api/iiif/4758296/manifest.json,125-0002,127
4501476,https://www.digital.archives.go.jp/api/iiif/4501476/manifest.json,135-0011,127
4114678,https://www.digital.archives.go.jp/api/iiif/4114678/manifest.json,301-0027,127
593721,https://www.digital.archives.go.jp/api/iiif/593721/manifest.json,301-0061,127
3743537,https://www.digital.archives.go.jp/api/iiif/3743537/manifest.json,306-0219,127
5065237,https://www.digital.archives.go.jp/api/iiif/5065237/manifest.json,366-0074,127
5389640,https://www.digital.archives.go.jp/api/iiif/5389640/manifest.json,367-0008,127
5394942,https://www.digital.archives.go.jp/api/iiif/5394942/manifest.json,369-0006,127
4756826,https://www.digital.archives.go.jp/api/iiif/4756826/manifest.json,060-0002,126
4434472,https://www.digital.archives.go.jp/api/iiif/4434472/manifest.json,094-0003,126
4499228,https://www.digital.archives.go.jp/api/iiif/4499228/manifest.json,135-0007,126
4487282,https://www.digital.archives.go.jp/api/iiif/4487282/manifest.json,188-0001,126
4427652,https://www.digital.archives.go.jp/api/iiif/4427652/manifest.json,195-0003,126
4916461,https://www.digital.archives.go.jp/api/iiif/4916461/manifest.json,303-0002,126
4772259,https://www.digital.archives.go.jp/api/iiif/4772259/manifest.json,305-0272,126
3743256,https://www.digital.archives.go.jp/api/iiif/3743256/manifest.json,308-0013,126
5064874,https://www.digital.archives.go.jp/api/iiif/5064874/manifest.json,366-0041,126
5389653,https://www.digital.archives.go.jp/api/iiif/5389653/manifest.json,367-0008,126
3977866,https://www.digital.archives.go.jp/api/iiif/3977866/manifest.json,367-0027,126
4414469,https://www.digital.archives.go.jp/api/iiif/4414469/manifest.json,075-0001,125
4499510,https://www.digital.archives.go.jp/api/iiif/4499510/manifest.json,126-0002,125
4487286,https://www.digital.archives.go.jp/api/iiif/4487286/manifest.json,188-0001,125
4487479,https://www.digital.archives.go.jp/api/iiif/4487479/manifest.json,188-0001,125
593305,https://www.digital.archives.go.jp/api/iiif/593305/manifest.json,302-0002,125
4919187,https://www.digital.archives.go.jp/api/iiif/4919187/manifest.json,305-0295,125
4920500,https://www.digital.archives.go.jp/api/iiif/4920500/manifest.json,307-0190,125
3991125,https://www.digital.archives.go.jp/api/iiif/3991125/manifest.json,364-0075,125
3323142,https://www.digital.archives.go.jp/api/iiif/3323142/manifest.json,366-0081,125
5065735,https://www.digital.archives.go.jp/api/iiif/5065735/manifest.json,367-0036,125
5394977,https://www.digital.archives.go.jp/api/iiif/5394977/manifest.json,369-0008,125
4490064,https://www.digital.archives.go.jp/api/iiif/4490064/manifest.json,111-0003,124
4487470,https://www.digital.archives.go.jp/api/iiif/4487470/manifest.json,188-0001,124
593776,https://www.digital.archives.go.jp/api/iiif/593776/manifest.json,278-0001,124
4114681,https://www.digital.archives.go.jp/api/iiif/4114681/manifest.json,301-0027,124
4916296,https://www.digital.archives.go.jp/api/iiif/4916296/manifest.json,303-0001,124
3671442,https://www.digital.archives.go.jp/api/iiif/3671442/manifest.json,305-0271,124
4920505,https://www.digital.archives.go.jp/api/iiif/4920505/manifest.json,307-0190,124
4766870,https://www.digital.archives.go.jp/api/iiif/4766870/manifest.json,310-0008,124
1071242,https://www.digital.archives.go.jp/api/iiif/1071242/manifest.json,313-0081,124
3746193,https://www.digital.archives.go.jp/api/iiif/3746193/manifest.json,366-0031,124
5065352,https://www.digital.archives.go.jp/api/iiif/5065352/manifest.json,366-0080,124
5390400,https://www.digital.archives.go.jp/api/iiif/5390400/manifest.json,367-0052,124
4756767,https://www.digital.archives.go.jp/api/iiif/4756767/manifest.json,058-0002,123
